applicant_id,prediction
"1","0"
"2","0"
"3","0"
"4","1"
"5","1"
"6","0"
"7","0"
"8","1"
"9","1"
"10","1"
"11","0"
"12","0"
"13","1"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","1"
"21","1"
"22","0"
"23","0"
"24","0"
"25","0"
"26","0"
"27","1"
"28","0"
"29","0"
"30","1"
"31","1"
"32","1"
"33","0"
"34","0"
"35","0"
"36","1"
"37","0"
"38","0"
"39","1"
"40","0"
"41","0"
"42","1"
"43","1"
"44","1"
"45","1"
"46","1"
"47","1"
"48","0"
"49","0"
"50","1"
"51","0"
"52","1"
"53","0"
"54","1"
"55","0"
"56","0"
"57","0"
"58","1"
"59","0"
"60","0"
"61","0"
"62","0"
"63","0"
"64","0"
"65","0"
"66","0"
"67","0"
"68","1"
"69","1"
"70","0"
"71","0"
"72","0"
"73","0"
"74","0"
"75","1"
"76","1"
"77","1"
"78","0"
"79","1"
"80","1"
"81","0"
"82","0"
"83","0"
"84","1"
"85","0"
"86","0"
"87","0"
"88","1"
"89","1"
"90","0"
"91","1"
"92","1"
"93","0"
"94","0"
"95","1"
"96","1"
"97","0"
"98","0"
"99","0"
"100","0"
"101","0"
"102","0"
"103","0"
"104","1"
"105","1"
"106","1"
"107","0"
"108","0"
"109","0"
"110","1"
"111","0"
"112","0"
"113","0"
"114","0"
"115","0"
"116","1"
"117","1"
"118","0"
"119","0"
"120","0"
"121","0"
"122","1"
"123","1"
"124","1"
"125","0"
"126","1"
"127","0"
"128","1"
"129","0"
"130","1"
"131","0"
"132","0"
"133","1"
"134","1"
"135","0"
"136","0"
"137","0"
"138","0"
"139","1"
"140","1"
"141","0"
"142","1"
"143","0"
"144","1"
"145","1"
"146","0"
"147","1"
"148","1"
"149","1"
"150","0"
"151","0"
"152","1"
"153","0"
"154","0"
"155","1"
"156","1"
"157","1"
"158","0"
"159","0"
"160","0"
"161","1"
"162","1"
"163","1"
"164","0"
"165","1"
"166","1"
"167","0"
"168","0"
"169","1"
"170","0"
"171","1"
"172","1"
"173","0"
"174","0"
"175","0"
"176","1"
"177","0"
"178","0"
"179","0"
"180","1"
"181","1"
"182","1"
"183","0"
"184","1"
"185","0"
"186","1"
