applicant_id,prediction
"1","0"
"2","1"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","1"
"10","0"
"11","0"
"12","1"
"13","1"
"14","1"
"15","1"
"16","0"
"17","1"
"18","1"
"19","0"
"20","0"
"21","0"
"22","1"
"23","0"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","0"
"30","1"
"31","0"
"32","0"
"33","0"
"34","0"
"35","1"
"36","1"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","1"
"43","0"
"44","1"
"45","0"
"46","1"
"47","0"
"48","0"
"49","0"
"50","0"
"51","1"
"52","1"
"53","0"
"54","1"
"55","0"
"56","1"
"57","0"
"58","1"
"59","0"
"60","0"
"61","1"
"62","0"
"63","0"
"64","0"
"65","0"
"66","0"
"67","0"
"68","0"
"69","0"
"70","0"
"71","0"
"72","0"
"73","0"
"74","0"
"75","0"
"76","1"
"77","0"
"78","0"
"79","0"
"80","0"
"81","0"
"82","1"
"83","0"
"84","0"
"85","1"
"86","1"
"87","1"
"88","0"
"89","0"
"90","1"
"91","0"
"92","0"
"93","0"
"94","1"
"95","0"
"96","1"
"97","1"
"98","1"
"99","0"
"100","0"
"101","1"
"102","1"
"103","1"
"104","0"
"105","0"
"106","0"
"107","0"
"108","0"
"109","1"
"110","1"
"111","1"
"112","1"
"113","0"
"114","0"
"115","0"
"116","0"
"117","1"
"118","0"
"119","1"
"120","0"
"121","0"
"122","0"
"123","0"
"124","0"
"125","1"
"126","1"
"127","1"
"128","1"
"129","0"
"130","1"
"131","0"
"132","0"
"133","0"
"134","1"
"135","1"
"136","0"
"137","1"
"138","1"
"139","0"
"140","0"
"141","1"
"142","0"
"143","0"
"144","0"
"145","0"
"146","1"
"147","1"
"148","1"
"149","1"
"150","0"
"151","1"
"152","0"
"153","1"
"154","1"
"155","0"
"156","0"
"157","0"
"158","0"
"159","0"
"160","0"
"161","0"
"162","0"
"163","0"
"164","0"
"165","0"
"166","0"
"167","0"
"168","0"
"169","0"
"170","1"
"171","1"
"172","1"
"173","0"
"174","0"
"175","0"
"176","0"
"177","1"
"178","0"
"179","1"
"180","1"
"181","0"
"182","0"
"183","1"
"184","1"
"185","0"
"186","0"
"187","0"
"188","1"
"189","1"
"190","0"
"191","1"
"192","1"
"193","0"
"194","0"
"195","0"
"196","0"
"197","0"
"198","0"
"199","0"
"200","1"
"201","1"
"202","1"
"203","0"
"204","1"
"205","0"
"206","1"
"207","0"
"208","0"
"209","0"
"210","0"
"211","1"
"212","0"
"213","0"
"214","0"
"215","1"
"216","0"
"217","0"
"218","0"
"219","0"
"220","0"
"221","0"
"222","0"
"223","1"
"224","0"
"225","0"
"226","1"
"227","1"
"228","0"
"229","1"
"230","1"
"231","0"
"232","0"
"233","0"
"234","0"
"235","1"
"236","0"
"237","0"
"238","1"
"239","0"
"240","0"
"241","1"
"242","0"
"243","0"
"244","0"
"245","0"
"246","0"
"247","1"
"248","1"
"249","0"
"250","0"
"251","0"
"252","1"
"253","1"
"254","1"
"255","0"
"256","1"
"257","0"
"258","0"
"259","1"
"260","0"
"261","0"
"262","1"
"263","1"
"264","0"
"265","0"
"266","1"
"267","0"
"268","1"
"269","1"
"270","0"
"271","0"
"272","1"
"273","1"
"274","0"
"275","1"
"276","0"
"277","1"
"278","0"
"279","0"
