Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
1,Howard University,3.06,Masters,Miami,F,0.0,1,N/A,2,Lawyer,05/19,01/21,ML Engineer,08/16,10/20,N/A,N/A,N/A,1.59
2,Harvard University,2.13,Bachelors,Los Angeles,M,0.0,1,0.0,3,Data Scientist,02/19,05/23,N/A,N/A,N/A,N/A,N/A,N/A,0.8
3,Brandeis University,2.62,Bachelors,Los Angeles,F,0.0,0,0.0,2,Data Scientist,02/20,02/23,Lawyer,02/17,03/21,N/A,N/A,N/A,4.61
4,Howard University,2.57,Bachelors,Charlottesville,F,0.0,0,0.0,2,Senior SWE,12/19,05/21,Senior SWE,04/18,12/20,N/A,N/A,N/A,0.5
5,Yale University,3.54,Bachelors,Chicago,F,0.0,1,0.0,1,ML Engineer,01/20,01/22,Lawyer,03/17,06/21,N/A,N/A,N/A,3.19
6,Brandeis University,3.52,PhD,Boston,F,N/A,1,0.0,4,ML Engineer,12/18,11/22,Senior SWE,11/18,03/21,N/A,N/A,N/A,2.32
7,Brandeis University,3.5,Bachelors,Miami,F,0.0,1,1.0,2,Lawyer,05/18,06/22,Lawyer,02/18,11/20,N/A,N/A,N/A,0.49
8,Howard University,1.03,Masters,Chicago,M,0.0,1,0.0,2,ML Engineer,08/20,05/21,Data Scientist,12/15,06/19,N/A,N/A,N/A,0.32
9,American University,3.25,Bachelors,Chicago,F,1.0,1,0.0,3,Senior SWE,03/17,04/21,N/A,N/A,N/A,N/A,N/A,N/A,6.89
10,Yale University,3.28,Masters,Los Angeles,M,N/A,0,0.0,4,Lawyer,08/17,04/23,Lawyer,05/15,01/20,N/A,N/A,N/A,7.74
11,Howard University,3.04,Bachelors,Charlottesville,F,0.0,1,0.0,4,Data Scientist,08/18,06/21,N/A,N/A,N/A,N/A,N/A,N/A,8.65
12,Yale University,3.27,Bachelors,Providence,M,0.0,1,0.0,2,ML Engineer,05/19,07/21,N/A,N/A,N/A,N/A,N/A,N/A,8.22
13,Yale University,3.53,PhD,Miami,F,0.0,0,0.0,4,Senior SWE,01/17,06/23,N/A,N/A,N/A,N/A,N/A,N/A,6.61
14,Brandeis University,2.41,Bachelors,Waltham,M,0.0,1,0.0,3,Senior SWE,10/19,10/22,Junior SWE,10/17,07/21,N/A,N/A,N/A,0.09
15,Harvard University,2.51,Bachelors,Providence,M,0.0,0,0.0,1,Data Scientist,03/19,10/22,N/A,N/A,N/A,N/A,N/A,N/A,8.78
16,Yale University,1.37,Bachelors,New York City,N/A,N/A,1,0.0,2,Senior SWE,11/18,05/22,N/A,N/A,N/A,N/A,N/A,N/A,4.77
17,Fordham University,2.16,Masters,New York City,M,0.0,0,0.0,0,Lawyer,08/18,08/22,N/A,N/A,N/A,N/A,N/A,N/A,4.25
18,Brandeis University,2.93,Bachelors,Miami,F,0.0,1,0.0,2,Lawyer,01/19,10/22,Lawyer,03/16,07/21,N/A,N/A,N/A,2.52
19,American University,3.34,PhD,Charlottesville,N/A,0.0,1,0.0,2,Junior SWE,08/17,10/23,Lawyer,05/16,09/20,N/A,N/A,N/A,7.85
20,Harvard University,1.65,Bachelors,Boston,M,0.0,1,0.0,1,Data Scientist,06/17,08/21,Senior SWE,08/18,05/20,Senior SWE,10/18,01/18,6.22
21,Fordham University,1.41,Bachelors,New York City,F,0.0,1,0.0,0,Senior SWE,02/18,08/21,Data Scientist,11/18,08/21,N/A,N/A,N/A,7.07
22,Fordham University,2.99,Masters,Los Angeles,M,0.0,1,0.0,0,ML Engineer,10/19,03/21,N/A,N/A,N/A,N/A,N/A,N/A,9.21
23,American University,1.01,Masters,Boston,M,1.0,0,0.0,0,Lawyer,04/19,12/22,N/A,N/A,N/A,N/A,N/A,N/A,9.86
24,Harvard University,1.54,PhD,Chicago,M,N/A,0,0.0,1,Data Scientist,11/18,08/22,Data Scientist,08/19,07/20,N/A,N/A,N/A,6.67
25,Brandeis University,1.09,PhD,New York City,N/A,0.0,1,0.0,4,Data Scientist,03/19,04/21,Senior SWE,02/19,11/20,Senior SWE,10/16,11/19,4.2
26,Providence University,1.5,Bachelors,Los Angeles,M,1.0,1,0.0,0,Lawyer,03/19,01/22,Data Scientist,09/15,08/21,N/A,N/A,N/A,0.06
27,Harvard University,1.54,Bachelors,Chicago,F,0.0,1,0.0,4,Junior SWE,03/18,07/21,Senior SWE,04/15,10/19,N/A,N/A,N/A,1.73
28,American University,2.16,Bachelors,Boston,F,0.0,1,0.0,3,Data Scientist,05/17,12/21,N/A,N/A,N/A,N/A,N/A,N/A,9.88
29,Fordham University,2.21,Masters,Miami,F,0.0,1,0.0,1,Senior SWE,07/20,10/23,N/A,N/A,N/A,N/A,N/A,N/A,5.13
30,Brandeis University,3.62,PhD,Chicago,M,N/A,0,0.0,4,ML Engineer,05/19,12/22,Lawyer,05/16,05/19,N/A,N/A,N/A,1.45
31,Harvard University,2.53,Bachelors,Providence,F,0.0,1,0.0,0,ML Engineer,09/19,01/21,Data Scientist,06/15,01/19,ML Engineer,02/15,06/19,2.66
32,Providence University,3.17,Bachelors,Miami,F,0.0,1,0.0,0,Lawyer,10/18,09/21,N/A,N/A,N/A,N/A,N/A,N/A,4.86
33,Providence University,1.31,Bachelors,Miami,F,0.0,1,0.0,4,Data Scientist,12/19,01/21,Junior SWE,01/19,04/21,N/A,N/A,N/A,9.64
34,Yale University,1.68,Masters,Boston,N/A,0.0,1,0.0,4,ML Engineer,04/19,01/23,N/A,N/A,N/A,N/A,N/A,N/A,9.05
35,Yale University,3.11,Bachelors,Boston,F,0.0,1,0.0,3,Data Scientist,03/17,05/22,N/A,N/A,N/A,N/A,N/A,N/A,2.03
36,Howard University,1.16,Bachelors,Los Angeles,M,1.0,1,0.0,1,Lawyer,06/20,11/23,N/A,N/A,N/A,N/A,N/A,N/A,7.65
37,American University,2.46,Bachelors,Los Angeles,F,N/A,1,0.0,2,Junior SWE,03/18,02/23,Junior SWE,08/16,11/20,N/A,N/A,N/A,1.21
38,Harvard University,2.8,Masters,Providence,M,0.0,1,0.0,3,ML Engineer,07/17,07/22,Data Scientist,04/19,01/19,N/A,N/A,N/A,5.18
39,Harvard University,2.81,Masters,Miami,M,0.0,1,0.0,3,Senior SWE,05/17,05/23,N/A,N/A,N/A,N/A,N/A,N/A,0.95
40,Howard University,1.07,Masters,Waltham,F,0.0,1,0.0,3,Lawyer,10/19,01/23,Junior SWE,03/19,02/21,N/A,N/A,N/A,0.31
41,Fordham University,1.97,Bachelors,Charlottesville,M,0.0,1,0.0,0,Junior SWE,10/19,09/21,Lawyer,04/17,03/21,N/A,N/A,N/A,4.55
42,Fordham University,2.91,Bachelors,Providence,M,1.0,1,0.0,4,Senior SWE,09/19,07/22,N/A,N/A,N/A,N/A,N/A,N/A,6.08
43,Howard University,1.45,Masters,Providence,N/A,0.0,0,0.0,1,Senior SWE,08/20,08/22,N/A,N/A,N/A,N/A,N/A,N/A,7.69
44,Fordham University,3.09,PhD,Charlottesville,M,0.0,1,0.0,0,ML Engineer,05/18,04/22,ML Engineer,11/16,10/20,N/A,N/A,N/A,4.99
45,Yale University,3.24,Bachelors,Charlottesville,N/A,0.0,1,N/A,3,Data Scientist,03/19,07/21,Data Scientist,10/17,04/19,N/A,N/A,N/A,2.99
46,Harvard University,3.95,Bachelors,Charlottesville,F,0.0,1,0.0,1,Lawyer,06/19,08/21,N/A,N/A,N/A,N/A,N/A,N/A,6.35
47,Howard University,1.63,Bachelors,Boston,F,0.0,1,0.0,0,Senior SWE,11/20,10/21,Data Scientist,12/17,05/20,N/A,N/A,N/A,8.03
48,Harvard University,3.48,Bachelors,Providence,F,0.0,1,0.0,2,ML Engineer,03/18,01/21,Data Scientist,09/15,10/20,N/A,N/A,N/A,3.8
49,Providence University,2.56,Masters,Providence,M,0.0,1,0.0,3,Junior SWE,09/20,09/23,N/A,N/A,N/A,N/A,N/A,N/A,5.68
50,Yale University,2.12,Bachelors,Chicago,M,0.0,1,0.0,0,Senior SWE,08/17,01/23,Senior SWE,03/19,03/21,Lawyer,01/14,09/17,4.09
51,Brandeis University,1.37,Bachelors,Charlottesville,M,0.0,0,1.0,0,Junior SWE,12/19,01/23,Junior SWE,10/16,12/19,N/A,N/A,N/A,5.94
52,Yale University,3.21,Bachelors,Charlottesville,M,0.0,0,0.0,3,Lawyer,06/19,09/22,Lawyer,07/16,02/20,ML Engineer,07/17,08/19,3.84
53,Howard University,1.71,Bachelors,Los Angeles,N/A,0.0,1,0.0,2,ML Engineer,03/20,01/23,ML Engineer,12/18,02/20,Senior SWE,11/16,03/19,0.08
54,Brandeis University,2.11,Bachelors,Los Angeles,F,0.0,1,0.0,4,Junior SWE,02/17,11/23,N/A,N/A,N/A,N/A,N/A,N/A,1.89
55,Providence University,1.19,Bachelors,Miami,M,0.0,0,0.0,2,Data Scientist,04/17,02/22,N/A,N/A,N/A,N/A,N/A,N/A,6.64
56,Howard University,3.4,Bachelors,Los Angeles,M,1.0,1,0.0,3,Junior SWE,04/17,01/23,N/A,N/A,N/A,N/A,N/A,N/A,3.59
57,American University,3.3,Masters,New York City,M,1.0,1,0.0,4,Junior SWE,04/19,01/22,N/A,N/A,N/A,N/A,N/A,N/A,7.62
58,Harvard University,3.2,Bachelors,Miami,M,0.0,0,0.0,0,ML Engineer,05/19,06/23,N/A,N/A,N/A,N/A,N/A,N/A,6.3
59,Providence University,1.9,Bachelors,Waltham,F,0.0,0,0.0,2,ML Engineer,07/20,07/23,Data Scientist,06/19,04/19,Data Scientist,12/14,11/17,6.12
60,Harvard University,1.52,PhD,Charlottesville,M,0.0,1,0.0,2,Senior SWE,10/18,08/23,Lawyer,11/19,12/20,N/A,N/A,N/A,3.87
61,Fordham University,2.91,Masters,Chicago,F,0.0,1,0.0,4,Junior SWE,04/17,01/21,N/A,N/A,N/A,N/A,N/A,N/A,2.21
62,American University,2.49,Masters,Los Angeles,M,0.0,1,0.0,0,Junior SWE,10/17,11/21,Junior SWE,01/19,06/20,Junior SWE,11/17,03/19,1.4
63,American University,1.53,Bachelors,Chicago,M,0.0,0,0.0,2,ML Engineer,01/17,05/21,Data Scientist,03/15,11/20,N/A,N/A,N/A,9.81
64,Providence University,3.06,Bachelors,Los Angeles,F,0.0,0,0.0,4,Data Scientist,01/20,04/22,ML Engineer,05/16,07/19,N/A,N/A,N/A,3.15
65,American University,3.97,Bachelors,Los Angeles,F,1.0,1,0.0,2,ML Engineer,03/20,06/22,N/A,N/A,N/A,N/A,N/A,N/A,3.02
66,Brandeis University,3.24,Bachelors,Chicago,N/A,0.0,1,0.0,0,Data Scientist,11/20,09/21,ML Engineer,10/19,06/19,N/A,N/A,N/A,3.19
67,American University,3.22,Bachelors,Providence,F,N/A,1,0.0,0,ML Engineer,08/18,02/23,N/A,N/A,N/A,N/A,N/A,N/A,0.49
68,Harvard University,3.85,PhD,Providence,M,0.0,1,0.0,1,Lawyer,01/17,10/21,ML Engineer,07/16,08/20,N/A,N/A,N/A,8.89
69,Harvard University,1.61,Bachelors,Providence,M,0.0,0,0.0,4,Junior SWE,12/17,06/23,N/A,N/A,N/A,N/A,N/A,N/A,8.8
70,Howard University,2.7,Bachelors,New York City,F,0.0,1,0.0,3,Data Scientist,04/19,07/21,Lawyer,07/16,09/20,N/A,N/A,N/A,8.96
71,Harvard University,3.94,Bachelors,Providence,N/A,0.0,1,0.0,2,Lawyer,10/20,01/22,N/A,N/A,N/A,N/A,N/A,N/A,2.33
72,Howard University,1.5,Bachelors,Los Angeles,F,0.0,1,0.0,0,Data Scientist,05/17,10/22,Junior SWE,08/18,12/19,N/A,N/A,N/A,5.25
73,Harvard University,3.1,Masters,Charlottesville,M,0.0,1,0.0,2,Senior SWE,06/17,10/22,Lawyer,08/18,06/19,N/A,N/A,N/A,4.04
74,Brandeis University,2.76,Bachelors,Boston,N/A,0.0,1,0.0,2,Senior SWE,10/19,03/21,N/A,N/A,N/A,N/A,N/A,N/A,3.72
75,Howard University,2.76,Masters,Chicago,M,0.0,1,1.0,3,Junior SWE,08/19,06/23,Lawyer,08/19,08/19,Lawyer,10/17,08/17,7.89
76,Yale University,3.09,PhD,Charlottesville,F,0.0,0,0.0,0,Lawyer,12/17,09/22,Data Scientist,12/15,01/21,N/A,N/A,N/A,7.65
77,Fordham University,3.79,Bachelors,Boston,N/A,0.0,1,0.0,1,Lawyer,03/20,07/23,N/A,N/A,N/A,N/A,N/A,N/A,1.99
78,Providence University,3.35,Bachelors,Charlottesville,M,0.0,0,0.0,4,Senior SWE,07/17,07/23,Junior SWE,09/18,02/21,N/A,N/A,N/A,8.36
79,Harvard University,1.17,PhD,New York City,N/A,0.0,1,0.0,2,Junior SWE,08/20,08/22,N/A,N/A,N/A,N/A,N/A,N/A,3.87
80,American University,3.56,Masters,Boston,M,0.0,1,0.0,3,Senior SWE,10/17,08/23,Lawyer,12/18,11/19,N/A,N/A,N/A,2.59
81,Harvard University,1.68,Bachelors,Waltham,N/A,0.0,1,0.0,3,Lawyer,04/17,06/23,Lawyer,08/15,01/21,N/A,N/A,N/A,9.78
