Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1,Brandeis University,3.1,Masters,Chicago,N/A,1,0,0,1,Lawyer,08/19,10/21,Senior SWE,02/16,02/21,N/A,N/A,N/A
2,Harvard University,1.21,PhD,Boston,M,0,1,0,4,ML Engineer,10/19,12/22,ML Engineer,12/17,05/20,N/A,N/A,N/A
3,American University,1.53,Bachelors,Los Angeles,F,1,1,0,3,Lawyer,10/20,03/23,Data Scientist,03/15,04/20,N/A,N/A,N/A
4,Fordham University,3.83,PhD,Providence,F,N/A,1,0,3,Data Scientist,10/18,09/23,Senior SWE,07/16,04/20,N/A,N/A,N/A
5,Harvard University,1.56,Bachelors,Charlottesville,F,0,0,0,1,Data Scientist,03/17,12/22,Lawyer,07/16,03/21,N/A,N/A,N/A
6,Harvard University,3.33,Bachelors,Chicago,M,0,1,0,3,Junior SWE,12/17,12/22,N/A,N/A,N/A,N/A,N/A,N/A
7,Providence University,3.57,Bachelors,Boston,M,0,0,0,4,Lawyer,10/20,01/22,Lawyer,04/18,12/20,ML Engineer,07/17,07/18
8,Brandeis University,2.14,Masters,Miami,F,1,1,0,2,Lawyer,01/18,03/21,N/A,N/A,N/A,N/A,N/A,N/A
9,Harvard University,3.3,PhD,Waltham,F,N/A,0,1,4,ML Engineer,11/19,07/21,N/A,N/A,N/A,N/A,N/A,N/A
10,Yale University,2.73,Bachelors,Miami,M,0,1,0,3,Senior SWE,03/17,12/22,ML Engineer,08/18,09/21,Lawyer,05/17,04/18
11,Providence University,3.6,Bachelors,Providence,F,0,1,1,2,Senior SWE,01/18,12/21,Lawyer,02/19,02/21,N/A,N/A,N/A
12,Howard University,1.6,Bachelors,Waltham,M,N/A,1,0,2,Data Scientist,01/18,04/21,Data Scientist,08/15,02/20,N/A,N/A,N/A
13,American University,3.38,Bachelors,New York City,F,0,0,0,2,Junior SWE,04/18,11/23,N/A,N/A,N/A,N/A,N/A,N/A
14,Harvard University,2.12,Masters,Los Angeles,M,0,1,0,0,ML Engineer,10/18,08/21,Data Scientist,08/15,10/21,N/A,N/A,N/A
15,Harvard University,1.64,Masters,Boston,F,0,1,0,0,ML Engineer,04/18,01/21,N/A,N/A,N/A,N/A,N/A,N/A
16,Harvard University,1.75,Bachelors,Charlottesville,N/A,0,1,0,1,Senior SWE,08/18,09/21,N/A,N/A,N/A,N/A,N/A,N/A
17,Howard University,3.57,Bachelors,Charlottesville,M,0,1,0,1,Senior SWE,09/19,08/22,Junior SWE,07/17,11/20,N/A,N/A,N/A
18,Fordham University,3.91,Bachelors,Charlottesville,F,N/A,0,N/A,0,Lawyer,06/20,02/21,Senior SWE,03/17,06/21,N/A,N/A,N/A
19,Fordham University,3.79,Bachelors,Charlottesville,F,0,1,1,0,Lawyer,11/20,08/21,Lawyer,01/19,01/19,N/A,N/A,N/A
20,Brandeis University,3.28,PhD,Los Angeles,M,N/A,1,0,0,Senior SWE,07/17,06/21,N/A,N/A,N/A,N/A,N/A,N/A
21,Fordham University,1.15,Masters,Providence,M,0,1,0,3,Junior SWE,11/19,11/22,N/A,N/A,N/A,N/A,N/A,N/A
22,American University,3.94,PhD,Los Angeles,F,0,1,0,1,Lawyer,12/17,11/21,N/A,N/A,N/A,N/A,N/A,N/A
23,American University,3.14,Masters,Chicago,M,0,0,1,2,ML Engineer,01/20,09/21,ML Engineer,08/17,06/20,N/A,N/A,N/A
24,Howard University,2.68,Masters,New York City,N/A,1,0,0,4,Lawyer,08/17,04/21,Data Scientist,09/16,10/19,N/A,N/A,N/A
25,Providence University,2.4,Masters,Charlottesville,M,0,1,0,0,ML Engineer,04/19,06/21,N/A,N/A,N/A,N/A,N/A,N/A
26,Brandeis University,1.87,Masters,Los Angeles,F,0,1,0,4,Lawyer,02/18,09/22,Lawyer,08/17,06/20,N/A,N/A,N/A
27,Fordham University,2.56,PhD,Chicago,M,0,1,0,4,Junior SWE,08/20,07/21,N/A,N/A,N/A,N/A,N/A,N/A
28,Fordham University,1.4,Bachelors,New York City,F,0,1,0,4,ML Engineer,06/20,12/22,N/A,N/A,N/A,N/A,N/A,N/A
29,Harvard University,1.31,Bachelors,Waltham,M,0,1,0,1,ML Engineer,11/19,01/22,N/A,N/A,N/A,N/A,N/A,N/A
30,Providence University,3.12,Bachelors,Los Angeles,F,0,1,0,1,Junior SWE,08/18,05/21,N/A,N/A,N/A,N/A,N/A,N/A
31,Yale University,2.88,Bachelors,Providence,M,0,1,0,1,Junior SWE,07/18,01/23,Senior SWE,10/16,11/20,N/A,N/A,N/A
32,Brandeis University,1.52,Bachelors,Charlottesville,F,0,1,1,1,Junior SWE,11/20,06/23,N/A,N/A,N/A,N/A,N/A,N/A
33,American University,2.18,PhD,Providence,N/A,0,1,0,4,Data Scientist,07/18,09/21,N/A,N/A,N/A,N/A,N/A,N/A
34,Yale University,3.07,Bachelors,Waltham,N/A,0,1,0,1,Data Scientist,07/19,06/21,N/A,N/A,N/A,N/A,N/A,N/A
35,Providence University,3.28,Bachelors,New York City,F,0,1,0,4,ML Engineer,01/18,09/22,N/A,N/A,N/A,N/A,N/A,N/A
36,Fordham University,2.06,Masters,Providence,F,N/A,1,0,4,Data Scientist,01/17,07/23,Data Scientist,09/17,07/20,N/A,N/A,N/A
37,Fordham University,2.66,Bachelors,Waltham,F,0,1,0,2,ML Engineer,04/19,07/23,Junior SWE,01/16,09/20,N/A,N/A,N/A
38,Providence University,2.88,PhD,Boston,N/A,0,0,0,0,Senior SWE,05/17,04/22,Lawyer,04/18,09/20,N/A,N/A,N/A
39,Yale University,2.71,PhD,Los Angeles,F,0,1,0,1,Senior SWE,09/20,06/23,N/A,N/A,N/A,N/A,N/A,N/A
40,Howard University,1.04,Bachelors,Waltham,F,0,1,1,4,Junior SWE,05/19,10/23,Data Scientist,06/16,06/21,N/A,N/A,N/A
