applicant_id,score
"1","7.54"
"2","8.26"
"3","0.31"
"4","2.39"
"5","0.41"
"6","4.27"
"7","3.95"
"8","9.48"
"9","0.03"
"10","9.77"
"11","4.81"
"12","7.61"
"13","4.95"
"14","8.52"
"15","6.31"
"16","6.83"
"17","5.85"
"18","9.51"
"19","9.2"
"20","6.87"
"21","7.73"
"22","1.1"
"23","9.44"
"24","1.94"
"25","6.54"
"26","9.74"
"27","3.07"
"28","0.38"
"29","9.84"
"30","8.07"
"31","7.27"
"32","7.27"
"33","9.76"
"34","3.29"
"35","1.5"
"36","6.52"
"37","6.59"
"38","0.54"
"39","1.69"
"40","7.16"
"41","4.61"
"42","2.31"
"43","1.82"
"44","5.67"
"45","7.38"
"46","5.8"
"47","9.98"
"48","1.75"
"49","5.94"
"50","7.06"
"51","9.16"
"52","0.95"
"53","3.52"
"54","6.06"
"55","3.22"
"56","8.0"
"57","4.04"
"58","5.57"
"59","4.57"
"60","0.42"
"61","4.5"
"62","3.38"
"63","9.01"
"64","3.51"
"65","9.66"
"66","4.55"
"67","8.75"
"68","7.87"
"69","4.35"
"70","4.45"
"71","6.56"
"72","0.43"
"73","3.0"
"74","4.83"
"75","2.87"
"76","9.78"
"77","7.1"
"78","1.75"
"79","4.92"
"80","1.28"
"81","6.68"
"82","2.33"
"83","5.62"
"84","0.85"
"85","7.01"
"86","4.8"
"87","0.51"
"88","5.99"
"89","9.05"
"90","5.97"
"91","0.07"
"92","1.38"
"93","4.49"
"94","3.97"
"95","5.04"
"96","8.52"
"97","9.06"
"98","7.73"
"99","7.5"
"100","9.42"
"101","3.19"
"102","4.36"
"103","3.04"
"104","0.64"
"105","4.45"
"106","0.86"
"107","2.9"
"108","7.16"
"109","5.96"
"110","2.73"
"111","6.98"
"112","8.55"
"113","5.77"
"114","9.93"
"115","3.04"
"116","7.39"
"117","4.54"
"118","6.16"
"119","4.04"
"120","7.91"
"121","3.45"
"122","9.61"
"123","9.37"
"124","6.48"
"125","5.68"
"126","1.24"
"127","7.87"
"128","7.99"
"129","3.11"
"130","5.56"
"131","5.29"
"132","7.63"
"133","6.08"
"134","1.53"
"135","7.53"
"136","5.69"
"137","6.63"
"138","2.61"
"139","0.7"
"140","0.43"
"141","3.34"
"142","9.38"
"143","9.79"
"144","0.03"
"145","8.81"
"146","9.38"
"147","5.09"
"148","0.99"
"149","2.96"
"150","0.78"
"151","0.33"
"152","6.05"
"153","9.95"
"154","6.7"
"155","5.41"
"156","3.44"
"157","1.36"
"158","6.55"
"159","2.27"
"160","2.41"
"161","6.69"
"162","6.82"
"163","5.99"
"164","7.46"
"165","8.2"
"166","4.49"
"167","7.35"
"168","0.56"
"169","4.53"
"170","5.93"
