Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
1,Brandeis University,3.1,Masters,Chicago,N/A,1.0,0,0.0,1,Lawyer,08/19,10/21,Senior SWE,02/16,02/21,N/A,N/A,N/A,7.54
2,Harvard University,1.21,PhD,Boston,M,0.0,1,0.0,4,ML Engineer,10/19,12/22,ML Engineer,12/17,05/20,N/A,N/A,N/A,8.26
3,American University,1.53,Bachelors,Los Angeles,F,1.0,1,0.0,3,Lawyer,10/20,03/23,Data Scientist,03/15,04/20,N/A,N/A,N/A,0.31
4,Fordham University,3.83,PhD,Providence,F,N/A,1,0.0,3,Data Scientist,10/18,09/23,Senior SWE,07/16,04/20,N/A,N/A,N/A,2.39
5,Harvard University,1.56,Bachelors,Charlottesville,F,0.0,0,0.0,1,Data Scientist,03/17,12/22,Lawyer,07/16,03/21,N/A,N/A,N/A,0.41
6,Harvard University,3.33,Bachelors,Chicago,M,0.0,1,0.0,3,Junior SWE,12/17,12/22,N/A,N/A,N/A,N/A,N/A,N/A,4.27
7,Providence University,3.57,Bachelors,Boston,M,0.0,0,0.0,4,Lawyer,10/20,01/22,Lawyer,04/18,12/20,ML Engineer,07/17,07/18,3.95
8,Brandeis University,2.14,Masters,Miami,F,1.0,1,0.0,2,Lawyer,01/18,03/21,N/A,N/A,N/A,N/A,N/A,N/A,9.48
9,Harvard University,3.3,PhD,Waltham,F,N/A,0,1.0,4,ML Engineer,11/19,07/21,N/A,N/A,N/A,N/A,N/A,N/A,0.03
10,Yale University,2.73,Bachelors,Miami,M,0.0,1,0.0,3,Senior SWE,03/17,12/22,ML Engineer,08/18,09/21,Lawyer,05/17,04/18,9.77
11,Providence University,3.6,Bachelors,Providence,F,0.0,1,1.0,2,Senior SWE,01/18,12/21,Lawyer,02/19,02/21,N/A,N/A,N/A,4.81
12,Howard University,1.6,Bachelors,Waltham,M,N/A,1,0.0,2,Data Scientist,01/18,04/21,Data Scientist,08/15,02/20,N/A,N/A,N/A,7.61
13,American University,3.38,Bachelors,New York City,F,0.0,0,0.0,2,Junior SWE,04/18,11/23,N/A,N/A,N/A,N/A,N/A,N/A,4.95
14,Harvard University,2.12,Masters,Los Angeles,M,0.0,1,0.0,0,ML Engineer,10/18,08/21,Data Scientist,08/15,10/21,N/A,N/A,N/A,8.52
15,Harvard University,1.64,Masters,Boston,F,0.0,1,0.0,0,ML Engineer,04/18,01/21,N/A,N/A,N/A,N/A,N/A,N/A,6.31
16,Harvard University,1.75,Bachelors,Charlottesville,N/A,0.0,1,0.0,1,Senior SWE,08/18,09/21,N/A,N/A,N/A,N/A,N/A,N/A,6.83
17,Howard University,3.57,Bachelors,Charlottesville,M,0.0,1,0.0,1,Senior SWE,09/19,08/22,Junior SWE,07/17,11/20,N/A,N/A,N/A,5.85
18,Fordham University,3.91,Bachelors,Charlottesville,F,N/A,0,N/A,0,Lawyer,06/20,02/21,Senior SWE,03/17,06/21,N/A,N/A,N/A,9.51
19,Fordham University,3.79,Bachelors,Charlottesville,F,0.0,1,1.0,0,Lawyer,11/20,08/21,Lawyer,01/19,01/19,N/A,N/A,N/A,9.2
20,Brandeis University,3.28,PhD,Los Angeles,M,N/A,1,0.0,0,Senior SWE,07/17,06/21,N/A,N/A,N/A,N/A,N/A,N/A,6.87
21,Fordham University,1.15,Masters,Providence,M,0.0,1,0.0,3,Junior SWE,11/19,11/22,N/A,N/A,N/A,N/A,N/A,N/A,7.73
22,American University,3.94,PhD,Los Angeles,F,0.0,1,0.0,1,Lawyer,12/17,11/21,N/A,N/A,N/A,N/A,N/A,N/A,1.1
23,American University,3.14,Masters,Chicago,M,0.0,0,1.0,2,ML Engineer,01/20,09/21,ML Engineer,08/17,06/20,N/A,N/A,N/A,9.44
24,Howard University,2.68,Masters,New York City,N/A,1.0,0,0.0,4,Lawyer,08/17,04/21,Data Scientist,09/16,10/19,N/A,N/A,N/A,1.94
25,Providence University,2.4,Masters,Charlottesville,M,0.0,1,0.0,0,ML Engineer,04/19,06/21,N/A,N/A,N/A,N/A,N/A,N/A,6.54
26,Brandeis University,1.87,Masters,Los Angeles,F,0.0,1,0.0,4,Lawyer,02/18,09/22,Lawyer,08/17,06/20,N/A,N/A,N/A,9.74
27,Fordham University,2.56,PhD,Chicago,M,0.0,1,0.0,4,Junior SWE,08/20,07/21,N/A,N/A,N/A,N/A,N/A,N/A,3.07
28,Fordham University,1.4,Bachelors,New York City,F,0.0,1,0.0,4,ML Engineer,06/20,12/22,N/A,N/A,N/A,N/A,N/A,N/A,0.38
29,Harvard University,1.31,Bachelors,Waltham,M,0.0,1,0.0,1,ML Engineer,11/19,01/22,N/A,N/A,N/A,N/A,N/A,N/A,9.84
30,Providence University,3.12,Bachelors,Los Angeles,F,0.0,1,0.0,1,Junior SWE,08/18,05/21,N/A,N/A,N/A,N/A,N/A,N/A,8.07
31,Yale University,2.88,Bachelors,Providence,M,0.0,1,0.0,1,Junior SWE,07/18,01/23,Senior SWE,10/16,11/20,N/A,N/A,N/A,7.27
32,Brandeis University,1.52,Bachelors,Charlottesville,F,0.0,1,1.0,1,Junior SWE,11/20,06/23,N/A,N/A,N/A,N/A,N/A,N/A,7.27
33,American University,2.18,PhD,Providence,N/A,0.0,1,0.0,4,Data Scientist,07/18,09/21,N/A,N/A,N/A,N/A,N/A,N/A,9.76
34,Yale University,3.07,Bachelors,Waltham,N/A,0.0,1,0.0,1,Data Scientist,07/19,06/21,N/A,N/A,N/A,N/A,N/A,N/A,3.29
35,Providence University,3.28,Bachelors,New York City,F,0.0,1,0.0,4,ML Engineer,01/18,09/22,N/A,N/A,N/A,N/A,N/A,N/A,1.5
36,Fordham University,2.06,Masters,Providence,F,N/A,1,0.0,4,Data Scientist,01/17,07/23,Data Scientist,09/17,07/20,N/A,N/A,N/A,6.52
37,Fordham University,2.66,Bachelors,Waltham,F,0.0,1,0.0,2,ML Engineer,04/19,07/23,Junior SWE,01/16,09/20,N/A,N/A,N/A,6.59
38,Providence University,2.88,PhD,Boston,N/A,0.0,0,0.0,0,Senior SWE,05/17,04/22,Lawyer,04/18,09/20,N/A,N/A,N/A,0.54
39,Yale University,2.71,PhD,Los Angeles,F,0.0,1,0.0,1,Senior SWE,09/20,06/23,N/A,N/A,N/A,N/A,N/A,N/A,1.69
40,Howard University,1.04,Bachelors,Waltham,F,0.0,1,1.0,4,Junior SWE,05/19,10/23,Data Scientist,06/16,06/21,N/A,N/A,N/A,7.16
41,Yale University,1.33,Bachelors,Charlottesville,M,0.0,1,0.0,2,ML Engineer,08/17,12/21,N/A,N/A,N/A,N/A,N/A,N/A,4.61
42,Yale University,2.54,PhD,Providence,M,0.0,1,0.0,2,Data Scientist,05/17,10/23,N/A,N/A,N/A,N/A,N/A,N/A,2.31
43,Providence University,1.55,Bachelors,Miami,M,0.0,1,0.0,2,Lawyer,11/18,11/21,Data Scientist,06/15,04/21,N/A,N/A,N/A,1.82
44,Harvard University,3.14,PhD,Providence,F,0.0,0,N/A,1,Junior SWE,04/17,09/22,N/A,N/A,N/A,N/A,N/A,N/A,5.67
45,Brandeis University,3.73,Masters,New York City,F,0.0,0,0.0,2,Data Scientist,07/19,02/23,N/A,N/A,N/A,N/A,N/A,N/A,7.38
46,Providence University,2.94,Masters,Miami,F,N/A,1,0.0,1,Lawyer,06/20,12/22,N/A,N/A,N/A,N/A,N/A,N/A,5.8
47,Harvard University,1.22,Bachelors,Miami,F,0.0,1,0.0,0,Junior SWE,06/17,07/22,N/A,N/A,N/A,N/A,N/A,N/A,9.98
48,Yale University,2.52,PhD,Providence,F,0.0,1,0.0,0,Junior SWE,11/17,10/22,N/A,N/A,N/A,N/A,N/A,N/A,1.75
49,Yale University,3.46,Bachelors,Miami,F,0.0,1,0.0,3,Junior SWE,03/20,07/23,N/A,N/A,N/A,N/A,N/A,N/A,5.94
50,Brandeis University,2.16,Bachelors,Charlottesville,F,0.0,1,0.0,2,ML Engineer,03/20,07/21,ML Engineer,03/16,03/21,N/A,N/A,N/A,7.06
51,Fordham University,1.24,PhD,Miami,N/A,0.0,1,0.0,4,Senior SWE,06/17,07/23,N/A,N/A,N/A,N/A,N/A,N/A,9.16
52,American University,3.97,Bachelors,Charlottesville,F,0.0,1,0.0,3,Lawyer,06/19,04/22,Junior SWE,12/17,10/21,Lawyer,01/15,10/19,0.95
53,Brandeis University,2.31,Masters,Boston,F,0.0,1,0.0,2,Senior SWE,08/18,07/23,ML Engineer,05/15,12/19,N/A,N/A,N/A,3.52
54,Yale University,3.44,Bachelors,Los Angeles,F,0.0,1,0.0,0,Data Scientist,01/17,03/23,N/A,N/A,N/A,N/A,N/A,N/A,6.06
55,Harvard University,1.01,Masters,Chicago,F,0.0,1,0.0,3,Data Scientist,07/20,01/23,N/A,N/A,N/A,N/A,N/A,N/A,3.22
56,Fordham University,3.07,Masters,Chicago,F,1.0,1,0.0,0,ML Engineer,08/19,11/21,N/A,N/A,N/A,N/A,N/A,N/A,8.0
57,Yale University,2.51,Bachelors,Boston,N/A,0.0,1,0.0,1,Lawyer,01/19,08/22,N/A,N/A,N/A,N/A,N/A,N/A,4.04
58,American University,1.49,Masters,Los Angeles,N/A,0.0,1,0.0,1,Data Scientist,03/17,03/22,N/A,N/A,N/A,N/A,N/A,N/A,5.57
59,Providence University,1.1,Bachelors,Charlottesville,M,1.0,1,0.0,3,Junior SWE,12/17,02/22,N/A,N/A,N/A,N/A,N/A,N/A,4.57
60,American University,2.14,Bachelors,Charlottesville,M,0.0,1,0.0,0,Junior SWE,09/19,04/22,N/A,N/A,N/A,N/A,N/A,N/A,0.42
61,Providence University,2.78,PhD,New York City,N/A,0.0,1,0.0,4,ML Engineer,08/20,06/23,N/A,N/A,N/A,N/A,N/A,N/A,4.5
62,American University,1.16,Bachelors,Los Angeles,M,0.0,1,N/A,0,Data Scientist,03/18,08/23,ML Engineer,02/19,10/20,N/A,N/A,N/A,3.38
63,Brandeis University,2.26,Bachelors,Los Angeles,F,0.0,1,0.0,2,ML Engineer,01/19,12/21,Data Scientist,10/17,08/21,N/A,N/A,N/A,9.01
64,Yale University,3.84,Bachelors,Miami,N/A,N/A,1,0.0,3,Data Scientist,08/19,11/21,ML Engineer,11/16,02/21,N/A,N/A,N/A,3.51
65,Yale University,2.14,Bachelors,New York City,F,N/A,1,N/A,4,Data Scientist,06/18,10/21,Senior SWE,04/15,03/20,N/A,N/A,N/A,9.66
66,Harvard University,1.1,Bachelors,Boston,M,0.0,1,0.0,1,Senior SWE,08/17,01/21,Data Scientist,11/16,05/21,N/A,N/A,N/A,4.55
67,Brandeis University,1.95,Masters,Charlottesville,M,0.0,1,0.0,0,Lawyer,10/19,08/23,N/A,N/A,N/A,N/A,N/A,N/A,8.75
68,Howard University,3.34,Bachelors,Charlottesville,M,0.0,1,0.0,0,ML Engineer,02/19,05/23,N/A,N/A,N/A,N/A,N/A,N/A,7.87
69,Fordham University,1.33,Bachelors,Chicago,F,1.0,1,0.0,1,Senior SWE,05/20,07/21,Junior SWE,07/18,08/19,ML Engineer,05/13,11/19,4.35
70,Brandeis University,3.06,Bachelors,New York City,M,1.0,1,1.0,2,Lawyer,04/18,09/21,Senior SWE,03/18,05/21,Senior SWE,10/13,12/17,4.45
71,Fordham University,2.36,Bachelors,Charlottesville,N/A,0.0,1,0.0,1,Lawyer,05/17,01/21,ML Engineer,12/17,09/21,N/A,N/A,N/A,6.56
72,Fordham University,3.07,Masters,Charlottesville,M,0.0,1,N/A,0,Senior SWE,08/20,07/22,Junior SWE,10/15,12/19,N/A,N/A,N/A,0.43
73,Harvard University,1.32,PhD,Chicago,M,1.0,1,0.0,0,Senior SWE,07/17,04/22,N/A,N/A,N/A,N/A,N/A,N/A,3.0
74,Howard University,1.18,Bachelors,New York City,M,0.0,1,1.0,2,Lawyer,03/18,10/22,N/A,N/A,N/A,N/A,N/A,N/A,4.83
75,Yale University,1.05,Bachelors,Charlottesville,N/A,0.0,1,0.0,0,Data Scientist,11/20,01/22,N/A,N/A,N/A,N/A,N/A,N/A,2.87
76,Fordham University,3.96,Bachelors,Providence,M,N/A,1,0.0,3,Lawyer,06/20,08/23,Junior SWE,10/16,08/20,N/A,N/A,N/A,9.78
77,Harvard University,3.23,Bachelors,Waltham,M,0.0,0,0.0,0,Lawyer,10/17,04/22,N/A,N/A,N/A,N/A,N/A,N/A,7.1
78,Fordham University,3.04,Masters,Miami,N/A,0.0,0,0.0,1,Data Scientist,02/17,05/22,N/A,N/A,N/A,N/A,N/A,N/A,1.75
79,American University,3.4,Masters,Miami,N/A,N/A,1,0.0,2,Lawyer,01/20,03/23,Data Scientist,08/15,05/20,N/A,N/A,N/A,4.92
80,Harvard University,2.35,Bachelors,Providence,M,1.0,0,0.0,1,Junior SWE,06/17,02/21,Senior SWE,08/19,05/19,N/A,N/A,N/A,1.28
81,Harvard University,1.68,Masters,Miami,M,1.0,1,1.0,3,Senior SWE,10/18,02/21,Data Scientist,01/19,05/20,Data Scientist,05/17,10/19,6.68
82,Brandeis University,3.98,Bachelors,Providence,F,0.0,1,0.0,2,Lawyer,10/18,10/23,N/A,N/A,N/A,N/A,N/A,N/A,2.33
83,Providence University,2.2,Bachelors,Miami,F,0.0,0,0.0,4,Senior SWE,02/17,01/21,Junior SWE,05/16,05/19,N/A,N/A,N/A,5.62
84,American University,1.72,Masters,Chicago,M,0.0,1,0.0,2,Senior SWE,09/17,11/23,Junior SWE,05/18,03/19,Junior SWE,11/17,07/17,0.85
85,Fordham University,2.89,Masters,Miami,F,0.0,1,0.0,3,ML Engineer,03/20,08/22,Senior SWE,04/15,03/21,N/A,N/A,N/A,7.01
86,American University,2.95,Masters,Chicago,N/A,0.0,1,0.0,4,Data Scientist,09/17,01/23,N/A,N/A,N/A,N/A,N/A,N/A,4.8
87,Providence University,1.31,Bachelors,Boston,M,0.0,1,0.0,2,Junior SWE,06/19,10/21,N/A,N/A,N/A,N/A,N/A,N/A,0.51
88,Yale University,1.78,Masters,Los Angeles,F,0.0,0,0.0,3,Senior SWE,02/17,10/22,N/A,N/A,N/A,N/A,N/A,N/A,5.99
89,Providence University,2.74,Bachelors,Waltham,N/A,0.0,1,0.0,2,Senior SWE,01/18,03/21,ML Engineer,03/17,01/21,N/A,N/A,N/A,9.05
90,American University,1.05,Bachelors,Chicago,M,0.0,1,0.0,0,Lawyer,01/20,07/21,ML Engineer,09/18,04/20,Lawyer,08/13,04/18,5.97
91,Harvard University,1.15,Bachelors,Waltham,F,0.0,1,0.0,1,ML Engineer,10/17,03/22,Data Scientist,03/17,11/21,N/A,N/A,N/A,0.07
92,Howard University,2.54,Bachelors,Los Angeles,M,N/A,0,0.0,0,Data Scientist,10/18,09/21,Lawyer,01/16,06/21,N/A,N/A,N/A,1.38
93,Fordham University,1.42,Bachelors,Chicago,F,0.0,1,N/A,4,Junior SWE,07/17,11/22,N/A,N/A,N/A,N/A,N/A,N/A,4.49
94,American University,3.19,Masters,Waltham,M,0.0,1,N/A,3,Senior SWE,04/19,01/22,N/A,N/A,N/A,N/A,N/A,N/A,3.97
95,Fordham University,1.09,Bachelors,Charlottesville,M,0.0,1,0.0,4,Senior SWE,02/18,03/21,N/A,N/A,N/A,N/A,N/A,N/A,5.04
96,Providence University,2.91,Bachelors,Boston,F,0.0,1,0.0,2,ML Engineer,11/18,11/21,Data Scientist,01/17,03/19,N/A,N/A,N/A,8.52
97,Providence University,2.26,PhD,Providence,M,0.0,1,0.0,3,Senior SWE,07/19,03/22,Lawyer,09/19,04/20,N/A,N/A,N/A,9.06
98,Yale University,3.96,Bachelors,Waltham,F,0.0,0,0.0,3,ML Engineer,06/18,08/22,ML Engineer,06/15,11/20,Senior SWE,07/13,03/19,7.73
99,Providence University,2.87,Bachelors,Providence,M,0.0,0,0.0,2,Senior SWE,12/17,07/21,Data Scientist,07/15,09/21,N/A,N/A,N/A,7.5
100,Brandeis University,3.22,Bachelors,Los Angeles,N/A,0.0,1,0.0,0,Data Scientist,04/20,06/22,N/A,N/A,N/A,N/A,N/A,N/A,9.42
101,Howard University,3.18,Bachelors,New York City,F,1.0,0,0.0,4,ML Engineer,11/19,09/22,N/A,N/A,N/A,N/A,N/A,N/A,3.19
102,Yale University,1.23,Bachelors,Los Angeles,M,0.0,1,0.0,2,Senior SWE,07/18,06/22,ML Engineer,12/15,03/20,N/A,N/A,N/A,4.36
103,American University,2.11,Masters,Chicago,F,N/A,1,0.0,0,Data Scientist,12/17,05/21,ML Engineer,11/15,06/19,N/A,N/A,N/A,3.04
104,Howard University,1.27,PhD,Providence,F,0.0,1,0.0,2,Lawyer,09/19,09/23,N/A,N/A,N/A,N/A,N/A,N/A,0.64
105,Howard University,1.29,Masters,Waltham,M,1.0,0,0.0,0,Lawyer,11/18,02/21,N/A,N/A,N/A,N/A,N/A,N/A,4.45
106,Fordham University,2.53,Bachelors,Boston,M,0.0,1,0.0,4,Junior SWE,02/19,02/22,Data Scientist,02/16,11/19,N/A,N/A,N/A,0.86
107,Howard University,2.14,PhD,Miami,F,0.0,1,0.0,2,Lawyer,01/19,10/21,N/A,N/A,N/A,N/A,N/A,N/A,2.9
108,Yale University,1.89,Bachelors,Waltham,F,1.0,1,0.0,2,Junior SWE,05/18,10/23,Junior SWE,09/17,12/19,N/A,N/A,N/A,7.16
109,Fordham University,3.95,PhD,Boston,F,1.0,0,0.0,0,Senior SWE,07/20,06/23,N/A,N/A,N/A,N/A,N/A,N/A,5.96
110,Providence University,1.47,Bachelors,Charlottesville,F,0.0,0,0.0,1,Senior SWE,09/20,03/22,Data Scientist,02/15,05/19,N/A,N/A,N/A,2.73
111,Brandeis University,2.17,PhD,Miami,F,0.0,1,0.0,3,Junior SWE,04/19,12/22,ML Engineer,09/17,05/20,N/A,N/A,N/A,6.98
112,Yale University,1.26,Bachelors,Los Angeles,M,0.0,1,0.0,2,Data Scientist,11/17,09/22,N/A,N/A,N/A,N/A,N/A,N/A,8.55
